




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA hydrolase activity (GO:0047994)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxylysine kinase activity (GO:0047992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
opioid growth factor receptor activity (GO:0140625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
taurine:sodium symporter activity (GO:0005369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antioxidant activity (GO:0016209)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
taurine transmembrane transporter activity (GO:0005368)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AMP binding (GO:0016208)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transmembrane transporter activity (GO:0015119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
low-affinity glucose:sodium symporter activity (GO:0005362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
GPI-mannose ethanolamine phosphate phosphodiesterase activity (GO:0062050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphate ion transmembrane transporter activity (GO:0015114)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
polyprenyltransferase activity (GO:0002094)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate adenylate kinase activity (GO:0046899)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iodotyrosine deiodinase activity (GO:0140616)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription factor activity (GO:0034246)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA damage sensor activity (GO:0140612)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transporter activity (GO:0005355)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transporter activity (GO:0015108)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase transmembrane transporter activity (GO:0005350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bicarbonate transmembrane transporter activity (GO:0015106)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transporter activity (GO:0015103)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP hydrolase activity (GO:0106177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vanadium ion transmembrane transporter activity (GO:0015100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate decaprenyltransferase activity (GO:0002083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanosine phosphorylase activity (GO:0047975)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor binding (GO:0035325)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
protein kinase A catalytic subunit binding (GO:0034236)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
GPI anchor binding (GO:0034235)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
D-loop DNA binding (GO:0062037)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transmembrane transporter activity (GO:0005345)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FFAT motif binding (GO:0033149)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
5S rDNA binding (GO:0080084)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organic acid:sodium symporter activity (GO:0005343)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	64	0	.55	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase activity (GO:0004252)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
alkylglycerone-phosphate synthase activity (GO:0008609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase regulator activity (GO:0008607)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
bile acid binding (GO:0032052)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin light chain binding (GO:0032051)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase regulator activity (GO:0008603)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin heavy chain binding (GO:0032050)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mRNA N-acetyltransferase activity (GO:0106162)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glyoxylate oxidase activity (GO:0047969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome-activating activity (GO:0036402)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glycine N-benzoyltransferase activity (GO:0047962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' exodeoxyribonuclease activity (GO:0035312)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
glycine N-acyltransferase activity (GO:0047961)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ephrin receptor binding (GO:0046875)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transporter activity (GO:0005337)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metal ion transmembrane transporter activity (GO:0046873)	102	0	.88	-	 < 0.01	1.00E00	1.00E00
serotonin:sodium symporter activity (GO:0005335)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
norepinephrine:sodium symporter activity (GO:0005334)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cadmium ion binding (GO:0046870)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid:sodium symporter activity (GO:0005332)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
dopamine:sodium symporter activity (GO:0005330)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor binding (GO:0033130)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine 3-dioxygenase activity (GO:0106157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K14 specific) (GO:0032041)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphorylated histone binding (GO:0106153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neurotransmitter:sodium symporter activity (GO:0005328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transporter activity (GO:0005324)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein kinase activity (GO:0034211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP hydrolysis activity (GO:0016887)	165	0	1.43	-	 < 0.01	4.04E-01	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acid-amino acid ligase activity (GO:0016881)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ligand-gated cation channel activity (GO:0099094)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heparan sulfate binding (GO:1904399)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin II head/neck binding (GO:0032034)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P-TEFb complex binding (GO:0106140)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid transporter activity (GO:0005319)	66	0	.57	-	 < 0.01	1.00E00	1.00E00
high-affinity inorganic phosphate:sodium symporter activity (GO:0005316)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic phosphate transmembrane transporter activity (GO:0005315)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
high-affinity glutamate transmembrane transporter activity (GO:0005314)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
glycolipid floppase activity (GO:0034202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
acid-thiol ligase activity (GO:0016878)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
myosin head/neck binding (GO:0032028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin light chain binding (GO:0032027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase activity (GO:0004222)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
m7G(5')pppN diphosphatase activity (GO:0050072)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
opsin binding (GO:0002046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase [NAD(P)] activity (GO:0047936)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NADP+) activity (GO:0047935)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NAD+) activity (GO:0047934)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
creatine:sodium symporter activity (GO:0005309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
creatine transmembrane transporter activity (GO:0005308)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine-specific phospholipase D activity (GO:0070290)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity, phosphotransferases (GO:0016868)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
long-chain-fatty-acyl-CoA reductase activity (GO:0050062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain-aldehyde dehydrogenase activity (GO:0050061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
p53 binding (GO:0002039)	39	0	.34	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
methyl indole-3-acetate esterase activity (GO:0080030)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
GDP-mannose 3,5-epimerase activity (GO:0047918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin receptor substrate binding (GO:0043560)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin B6 binding (GO:0070279)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
protease binding (GO:0002020)	58	0	.50	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate binding (GO:0070273)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
metal ion:proton antiporter activity (GO:0051139)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
3R-hydroxyacyl-CoA dehydratase activity (GO:0080023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-sulfur lyase activity (GO:0016846)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
strictosidine synthase activity (GO:0016844)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amine-lyase activity (GO:0016843)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
delta7-sterol 5(6)-desaturase activity (GO:0050046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ammonia-lyase activity (GO:0016841)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
insulin binding (GO:0043559)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Ala-tRNA(Thr) hydrolase activity (GO:0106105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase inhibitor activity (GO:0046811)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydro-lyase activity (GO:0016836)	29	0	.25	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity (GO:0016835)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
oxo-acid-lyase activity (GO:0016833)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
carbon-carbon lyase activity (GO:0016830)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
L-pipecolate oxidase activity (GO:0050031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity (GO:0033791)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin transmembrane transporter activity (GO:0090482)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor binding (GO:0043546)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tyrosyl-DNA phosphodiesterase activity (GO:0070259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pristanate-CoA ligase activity (GO:0070251)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sugar transmembrane transporter activity (GO:0051119)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
ATPase binding (GO:0051117)	35	0	.30	-	 < 0.01	1.00E00	1.00E00
lyase activity (GO:0016829)	88	0	.76	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid phosphorus-nitrogen bonds (GO:0016825)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (GO:0016823)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds (GO:0016822)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cytokine receptor activity (GO:0004896)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
L-fuconate dehydratase activity (GO:0050023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol 1,3,4,5 tetrakisphosphate binding (GO:0043533)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
angiostatin binding (GO:0043532)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ADP binding (GO:0043531)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-monophosphoramidase activity (GO:0043530)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
transmembrane signaling receptor activity (GO:0004888)	151	0	1.31	-	 < 0.01	6.41E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	40	0	.35	-	 < 0.01	1.00E00	1.00E00
Lys63-specific deubiquitinase activity (GO:0061578)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
itaconyl-CoA hydratase activity (GO:0050011)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucocorticoid receptor activity (GO:0004883)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heme binding (GO:0020037)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
FMN transmembrane transporter activity (GO:0044610)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leucine zipper domain binding (GO:0043522)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	32	0	.28	-	 < 0.01	1.00E00	1.00E00
mRNA binding involved in posttranscriptional gene silencing (GO:1903231)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-type carboxypeptidase activity (GO:0016807)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dipeptidase activity (GO:0016805)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear receptor activity (GO:0004879)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
ether hydrolase activity (GO:0016803)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
complement component C5a receptor activity (GO:0004878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on ether bonds (GO:0016801)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-CH group of donors (GO:0033765)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
complement receptor activity (GO:0004875)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein adenylylhydrolase activity (GO:0044603)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
asialoglycoprotein receptor activity (GO:0004873)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
kinetochore binding (GO:0043515)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
actin monomer binding (GO:0003785)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
sulfide:quinone oxidoreductase activity (GO:0070224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052899)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor (GO:0052890)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase inhibitor activity (GO:0004867)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
endopeptidase inhibitor activity (GO:0004866)	43	0	.37	-	 < 0.01	1.00E00	1.00E00
indoleamine 2,3-dioxygenase activity (GO:0033754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
actin binding (GO:0003779)	165	0	1.43	-	 < 0.01	4.04E-01	1.00E00
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein kinase inhibitor activity (GO:0004860)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
angiotensin type I receptor activity (GO:0001596)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR AU-rich region binding (GO:0035925)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
angiotensin receptor activity (GO:0001595)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chenodeoxycholic acid binding (GO:1902122)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-arginine-3 demethylase activity (GO:0033749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase inhibitor activity (GO:0004859)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-arginine-2 demethylase activity (GO:0033746)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
enzyme inhibitor activity (GO:0004857)	128	0	1.11	-	 < 0.01	6.29E-01	1.00E00
xylulokinase activity (GO:0004856)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-methionine:thioredoxin-disulfide S-oxidoreductase activity (GO:0033744)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycogen synthase activity, transferring glucose-1-phosphate (GO:0061547)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oleoyl-CoA ligase activity (GO:0090434)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA ligase activity (GO:0090433)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen-III synthase activity (GO:0004852)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
uridine phosphorylase activity (GO:0004850)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinol-n 3-O-methyltransferase activity (GO:0061542)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcidiol binding (GO:1902118)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
electron transfer activity (GO:0009055)	36	0	.31	-	 < 0.01	1.00E00	1.00E00
misfolded protein binding (GO:0051787)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
uridine kinase activity (GO:0004849)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
1-pyrroline dehydrogenase activity (GO:0033737)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
WW domain binding (GO:0050699)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
uracil DNA N-glycosylase activity (GO:0004844)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
thiol-dependent deubiquitinase (GO:0004843)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
