




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
modification-dependent macromolecule catabolic process (GO:0043632)	289	2	2.50	-	.80	1.00E00	1.00E00
cellular response to chemical stimulus (GO:0070887)	872	6	7.56	-	.79	6.94E-01	1.00E00
regulation of multicellular organismal process (GO:0051239)	876	6	7.59	-	.79	6.94E-01	1.00E00
reproductive system development (GO:0061458)	146	1	1.27	-	.79	1.00E00	1.00E00
developmental process involved in reproduction (GO:0003006)	293	2	2.54	-	.79	1.00E00	1.00E00
positive regulation of cell communication (GO:0010647)	587	4	5.09	-	.79	8.15E-01	1.00E00
nucleic acid metabolic process (GO:0090304)	1042	7	9.03	-	.78	5.83E-01	1.00E00
establishment of organelle localization (GO:0051656)	150	1	1.30	-	.77	1.00E00	1.00E00
response to wounding (GO:0009611)	150	1	1.30	-	.77	1.00E00	1.00E00
macromolecule catabolic process (GO:0009057)	451	3	3.91	-	.77	1.00E00	1.00E00
proteolysis involved in cellular protein catabolic process (GO:0051603)	302	2	2.62	-	.76	1.00E00	1.00E00
regulation of system process (GO:0044057)	151	1	1.31	-	.76	1.00E00	1.00E00
RNA metabolic process (GO:0016070)	759	5	6.58	-	.76	6.76E-01	1.00E00
spermatogenesis (GO:0007283)	152	1	1.32	-	.76	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	152	1	1.32	-	.76	1.00E00	1.00E00
methylation (GO:0032259)	152	1	1.32	-	.76	1.00E00	1.00E00
regulation of cell communication (GO:0010646)	1223	8	10.60	-	.75	4.91E-01	1.00E00
regulation of leukocyte activation (GO:0002694)	153	1	1.33	-	.75	1.00E00	1.00E00
cell part morphogenesis (GO:0032990)	154	1	1.33	-	.75	1.00E00	1.00E00
regulation of neuron projection development (GO:0010975)	154	1	1.33	-	.75	1.00E00	1.00E00
leukocyte activation (GO:0045321)	155	1	1.34	-	.74	1.00E00	1.00E00
protein-containing complex assembly (GO:0065003)	466	3	4.04	-	.74	7.96E-01	1.00E00
regulation of intracellular transport (GO:0032386)	157	1	1.36	-	.74	1.00E00	1.00E00
cellular protein catabolic process (GO:0044257)	314	2	2.72	-	.74	1.00E00	1.00E00
male gamete generation (GO:0048232)	157	1	1.36	-	.74	1.00E00	1.00E00
response to oxidative stress (GO:0006979)	158	1	1.37	-	.73	1.00E00	1.00E00
negative regulation of response to stimulus (GO:0048585)	632	4	5.48	-	.73	6.53E-01	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	318	2	2.76	-	.73	1.00E00	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	318	2	2.76	-	.73	1.00E00	1.00E00
regulation of biological quality (GO:0065008)	1280	8	11.09	-	.72	3.96E-01	1.00E00
regulation of signal transduction (GO:0009966)	1122	7	9.72	-	.72	4.75E-01	1.00E00
positive regulation of kinase activity (GO:0033674)	163	1	1.41	-	.71	1.00E00	1.00E00
epithelial cell differentiation (GO:0030855)	164	1	1.42	-	.70	1.00E00	1.00E00
ribosome biogenesis (GO:0042254)	164	1	1.42	-	.70	1.00E00	1.00E00
cell cycle process (GO:0022402)	331	2	2.87	-	.70	1.00E00	1.00E00
regulation of secretion by cell (GO:1903530)	166	1	1.44	-	.70	1.00E00	1.00E00
muscle structure development (GO:0061061)	166	1	1.44	-	.70	1.00E00	1.00E00
RNA processing (GO:0006396)	499	3	4.32	-	.69	7.99E-01	1.00E00
central nervous system development (GO:0007417)	334	2	2.89	-	.69	1.00E00	1.00E00
regulation of catabolic process (GO:0009894)	501	3	4.34	-	.69	7.99E-01	1.00E00
regulation of response to external stimulus (GO:0032101)	334	2	2.89	-	.69	1.00E00	1.00E00
regulation of cell activation (GO:0050865)	169	1	1.46	-	.68	1.00E00	1.00E00
cellular cation homeostasis (GO:0030003)	169	1	1.46	-	.68	1.00E00	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	170	1	1.47	-	.68	1.00E00	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	170	1	1.47	-	.68	1.00E00	1.00E00
carboxylic acid metabolic process (GO:0019752)	340	2	2.95	-	.68	7.69E-01	1.00E00
protein localization to membrane (GO:0072657)	171	1	1.48	-	.67	1.00E00	1.00E00
cell development (GO:0048468)	516	3	4.47	-	.67	6.23E-01	1.00E00
cellular ion homeostasis (GO:0006873)	173	1	1.50	-	.67	1.00E00	1.00E00
response to organonitrogen compound (GO:0010243)	350	2	3.03	-	.66	7.69E-01	1.00E00
oxoacid metabolic process (GO:0043436)	350	2	3.03	-	.66	7.69E-01	1.00E00
cell population proliferation (GO:0008283)	176	1	1.53	-	.66	1.00E00	1.00E00
proteolysis (GO:0006508)	528	3	4.58	-	.66	6.23E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	530	3	4.59	-	.65	6.23E-01	1.00E00
chemical homeostasis (GO:0048878)	356	2	3.08	-	.65	7.69E-01	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	357	2	3.09	-	.65	7.69E-01	1.00E00
nervous system development (GO:0007399)	715	4	6.20	-	.65	5.17E-01	1.00E00
regulation of anatomical structure size (GO:0090066)	179	1	1.55	-	.64	1.00E00	1.00E00
proteasomal protein catabolic process (GO:0010498)	179	1	1.55	-	.64	1.00E00	1.00E00
cellular component morphogenesis (GO:0032989)	180	1	1.56	-	.64	1.00E00	1.00E00
small molecule biosynthetic process (GO:0044283)	180	1	1.56	-	.64	1.00E00	1.00E00
regulation of mRNA metabolic process (GO:1903311)	180	1	1.56	-	.64	1.00E00	1.00E00
positive regulation of signal transduction (GO:0009967)	542	3	4.70	-	.64	6.25E-01	1.00E00
organic acid metabolic process (GO:0006082)	362	2	3.14	-	.64	7.69E-01	1.00E00
regulation of cell population proliferation (GO:0042127)	546	3	4.73	-	.63	6.25E-01	1.00E00
regulation of response to stress (GO:0080134)	546	3	4.73	-	.63	6.25E-01	1.00E00
phospholipid metabolic process (GO:0006644)	183	1	1.59	-	.63	1.00E00	1.00E00
regulation of secretion (GO:0051046)	183	1	1.59	-	.63	1.00E00	1.00E00
glycerolipid metabolic process (GO:0046486)	183	1	1.59	-	.63	1.00E00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	552	3	4.78	-	.63	6.27E-01	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	552	3	4.78	-	.63	6.27E-01	1.00E00
cell projection organization (GO:0030030)	371	2	3.21	-	.62	7.70E-01	1.00E00
positive regulation of protein localization (GO:1903829)	187	1	1.62	-	.62	1.00E00	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	189	1	1.64	-	.61	1.00E00	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	189	1	1.64	-	.61	1.00E00	1.00E00
cellular lipid metabolic process (GO:0044255)	381	2	3.30	-	.61	7.72E-01	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	192	1	1.66	-	.60	1.00E00	1.00E00
regulation of localization (GO:0032879)	966	5	8.37	-	.60	2.58E-01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	387	2	3.35	-	.60	7.73E-01	1.00E00
supramolecular fiber organization (GO:0097435)	194	1	1.68	-	.59	1.00E00	1.00E00
regulation of protein transport (GO:0051223)	196	1	1.70	-	.59	1.00E00	1.00E00
cation homeostasis (GO:0055080)	199	1	1.72	-	.58	1.00E00	1.00E00
cellular response to hormone stimulus (GO:0032870)	202	1	1.75	-	.57	1.00E00	1.00E00
positive regulation of transferase activity (GO:0051347)	202	1	1.75	-	.57	1.00E00	1.00E00
inorganic ion homeostasis (GO:0098771)	203	1	1.76	-	.57	1.00E00	1.00E00
regulation of response to stimulus (GO:0048583)	1429	7	12.38	-	.57	1.02E-01	1.00E00
gamete generation (GO:0007276)	205	1	1.78	-	.56	1.00E00	1.00E00
cell surface receptor signaling pathway (GO:0007166)	615	3	5.33	-	.56	3.65E-01	1.00E00
regulation of establishment of protein localization (GO:0070201)	208	1	1.80	-	.55	1.00E00	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	625	3	5.42	-	.55	3.64E-01	1.00E00
reproductive process (GO:0022414)	417	2	3.61	-	.55	5.82E-01	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	1044	5	9.05	-	.55	1.97E-01	1.00E00
reproduction (GO:0000003)	418	2	3.62	-	.55	5.82E-01	1.00E00
cellular chemical homeostasis (GO:0055082)	209	1	1.81	-	.55	1.00E00	1.00E00
regulation of protein phosphorylation (GO:0001932)	419	2	3.63	-	.55	5.82E-01	1.00E00
localization within membrane (GO:0051668)	211	1	1.83	-	.55	1.00E00	1.00E00
system process (GO:0003008)	428	2	3.71	-	.54	5.84E-01	1.00E00
RNA splicing (GO:0008380)	214	1	1.85	-	.54	1.00E00	1.00E00
positive regulation of catalytic activity (GO:0043085)	429	2	3.72	-	.54	5.84E-01	1.00E00
positive regulation of developmental process (GO:0051094)	431	2	3.73	-	.54	5.85E-01	1.00E00
ion homeostasis (GO:0050801)	218	1	1.89	-	.53	1.00E00	1.00E00
actin cytoskeleton organization (GO:0030036)	218	1	1.89	-	.53	1.00E00	1.00E00
regulation of cellular catabolic process (GO:0031329)	442	2	3.83	-	.52	5.88E-01	1.00E00
ncRNA processing (GO:0034470)	225	1	1.95	-	.51	1.00E00	1.00E00
regulation of molecular function (GO:0065009)	1146	5	9.93	-	.50	1.09E-01	1.00E00
actin filament-based process (GO:0030029)	231	1	2.00	-	.50	7.23E-01	1.00E00
cytoskeleton organization (GO:0007010)	463	2	4.01	-	.50	4.34E-01	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	236	1	2.04	-	.49	7.23E-01	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	238	1	2.06	-	.48	7.23E-01	1.00E00
lipid metabolic process (GO:0006629)	478	2	4.14	-	.48	4.36E-01	1.00E00
negative regulation of metabolic process (GO:0009892)	1197	5	10.37	-	.48	8.01E-02	1.00E00
sexual reproduction (GO:0019953)	240	1	2.08	-	.48	7.23E-01	1.00E00
multicellular organismal reproductive process (GO:0048609)	242	1	2.10	-	.48	7.24E-01	1.00E00
regulation of protein kinase activity (GO:0045859)	242	1	2.10	-	.48	7.24E-01	1.00E00
organophosphate biosynthetic process (GO:0090407)	243	1	2.11	-	.47	7.24E-01	1.00E00
multicellular organism reproduction (GO:0032504)	243	1	2.11	-	.47	7.24E-01	1.00E00
regulation of cell projection organization (GO:0031344)	244	1	2.11	-	.47	7.24E-01	1.00E00
regulation of phosphorylation (GO:0042325)	488	2	4.23	-	.47	4.38E-01	1.00E00
positive regulation of response to stimulus (GO:0048584)	734	3	6.36	-	.47	2.02E-01	1.00E00
regulation of cell adhesion (GO:0030155)	251	1	2.17	-	.46	7.25E-01	1.00E00
ncRNA metabolic process (GO:0034660)	253	1	2.19	-	.46	7.25E-01	1.00E00
cell cycle (GO:0007049)	511	2	4.43	-	.45	3.19E-01	1.00E00
negative regulation of transcription, DNA-templated (GO:0045892)	520	2	4.51	-	.44	3.20E-01	1.00E00
negative regulation of nucleic acid-templated transcription (GO:1903507)	521	2	4.51	-	.44	3.20E-01	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	522	2	4.52	-	.44	3.20E-01	1.00E00
cell adhesion (GO:0007155)	267	1	2.31	-	.43	7.29E-01	1.00E00
biological adhesion (GO:0022610)	269	1	2.33	-	.43	7.30E-01	1.00E00
cell migration (GO:0016477)	274	1	2.37	-	.42	7.32E-01	1.00E00
multi-organism reproductive process (GO:0044703)	281	1	2.43	-	.41	5.18E-01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	282	1	2.44	-	.41	5.18E-01	1.00E00
positive regulation of cell differentiation (GO:0045597)	288	1	2.50	-	.40	5.18E-01	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	578	2	5.01	-	.40	2.33E-01	1.00E00
negative regulation of developmental process (GO:0051093)	290	1	2.51	-	.40	5.18E-01	1.00E00
regulation of kinase activity (GO:0043549)	291	1	2.52	-	.40	5.18E-01	1.00E00
response to hormone (GO:0009725)	294	1	2.55	-	.39	5.18E-01	1.00E00
regulation of catalytic activity (GO:0050790)	911	3	7.89	-	.38	7.75E-02	1.00E00
localization of cell (GO:0051674)	304	1	2.63	-	.38	5.20E-01	1.00E00
cell motility (GO:0048870)	304	1	2.63	-	.38	5.20E-01	1.00E00
negative regulation of apoptotic process (GO:0043066)	307	1	2.66	-	.38	5.21E-01	1.00E00
cellular protein-containing complex assembly (GO:0034622)	307	1	2.66	-	.38	5.21E-01	1.00E00
negative regulation of programmed cell death (GO:0043069)	316	1	2.74	-	.37	5.24E-01	1.00E00
regulation of cellular localization (GO:0060341)	318	1	2.76	-	.36	5.25E-01	1.00E00
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	640	2	5.55	-	.36	1.70E-01	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	960	3	8.32	-	.36	5.48E-02	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	642	2	5.56	-	.36	1.70E-01	1.00E00
regulation of cellular response to stress (GO:0080135)	322	1	2.79	-	.36	5.27E-01	1.00E00
positive regulation of transport (GO:0051050)	328	1	2.84	-	.35	5.30E-01	1.00E00
negative regulation of multicellular organismal process (GO:0051241)	330	1	2.86	-	.35	3.68E-01	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	669	2	5.80	-	.35	1.19E-01	1.00E00
negative regulation of biosynthetic process (GO:0009890)	676	2	5.86	-	.34	1.19E-01	1.00E00
regulation of transferase activity (GO:0051338)	342	1	2.96	-	.34	3.68E-01	1.00E00
regulation of protein localization (GO:0032880)	343	1	2.97	-	.34	3.68E-01	1.00E00
locomotion (GO:0040011)	357	1	3.09	-	.32	3.70E-01	1.00E00
negative regulation of cell death (GO:0060548)	357	1	3.09	-	.32	3.70E-01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	362	1	3.14	-	.32	3.72E-01	1.00E00
regulation of cellular component biogenesis (GO:0044087)	400	1	3.47	-	.29	2.60E-01	1.00E00
cellular response to endogenous stimulus (GO:0071495)	405	1	3.51	-	.28	2.61E-01	1.00E00
regulation of developmental process (GO:0050793)	833	2	7.22	-	.28	4.09E-02	1.00E00
regulation of multicellular organismal development (GO:2000026)	424	1	3.67	-	.27	2.66E-01	1.00E00
movement of cell or subcellular component (GO:0006928)	436	1	3.78	-	.26	1.80E-01	1.00E00
positive regulation of cellular component organization (GO:0051130)	437	1	3.79	-	.26	1.80E-01	1.00E00
response to endogenous stimulus (GO:0009719)	493	1	4.27	-	.23	1.25E-01	1.00E00
regulation of cell differentiation (GO:0045595)	510	1	4.42	-	.23	1.27E-01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	1106	2	9.58	-	.21	3.61E-03	1.00E00
ion transmembrane transport (GO:0034220)	213	0	1.85	-	 < 0.01	2.64E-01	1.00E00
response to lead ion (GO:0010288)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
heat acclimation (GO:0010286)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of acute inflammatory response (GO:0002675)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of acute inflammatory response (GO:0002674)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of acute inflammatory response (GO:0002673)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
protein hexamerization (GO:0034214)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell anergy (GO:0002669)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell anergy (GO:0002667)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell tolerance induction (GO:0002666)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of T cell tolerance induction (GO:0002664)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detoxification of copper ion (GO:0010273)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell tolerance induction (GO:0002663)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to silver ion (GO:0010272)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of B cell tolerance induction (GO:0002661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of peripheral tolerance induction (GO:0002660)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amyloid-beta formation (GO:0034205)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid translocation (GO:0034204)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
glycolipid translocation (GO:0034203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to oleic acid (GO:0034201)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to selenium ion (GO:0010269)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of peripheral tolerance induction (GO:0002658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to vitamin B1 (GO:0010266)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction dependent upon immune response (GO:0002654)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction dependent upon immune response (GO:0002652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction to self antigen (GO:0002651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
animal organ senescence (GO:0010260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin assembly or disassembly (GO:0045799)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromatin assembly or disassembly (GO:0045798)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of intestinal cholesterol absorption (GO:0045796)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell volume (GO:0045794)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell size (GO:0045793)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell size (GO:0045792)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
multicellular organism aging (GO:0010259)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction to self antigen (GO:0002649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
glucose mediated signaling pathway (GO:0010255)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction (GO:0002645)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction (GO:0002643)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell adhesion (GO:0045785)	136	0	1.18	-	 < 0.01	6.32E-01	1.00E00
positive regulation of bone resorption (GO:0045780)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin production (GO:0002639)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunoglobulin production (GO:0002638)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin production (GO:0002637)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of germinal center formation (GO:0002636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of germinal center formation (GO:0002635)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of germinal center formation (GO:0002634)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone resorption (GO:0045779)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ossification (GO:0045778)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure (GO:0045777)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood pressure (GO:0045776)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension (GO:0045773)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
vascular transport (GO:0010232)	37	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of B cell antigen processing and presentation (GO:0002622)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of angiogenesis (GO:0045766)	52	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of angiogenesis (GO:0045765)	89	0	.77	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular amino acid metabolic process (GO:0045764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to lithium ion (GO:0010226)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to UV-C (GO:0010225)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of action potential (GO:0045759)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA methylation (GO:0010216)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell antigen processing and presentation (GO:0002604)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hexokinase activity (GO:1903299)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate secretion, neurotransmission (GO:1903296)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
