




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
multi-eIF complex (GO:0043614)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA-directed RNA polymerase complex (GO:0031379)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ino80 complex (GO:0031011)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
IRE1-TRAF2-ASK1 complex (GO:1990604)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UBC13-MMS2 complex (GO:0031372)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ISWI-type complex (GO:0031010)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center attachment site (GO:0034992)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear meiotic cohesin complex (GO:0034991)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme complex (GO:0031371)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
calcitonin family receptor complex (GO:1903439)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear mitotic cohesin complex (GO:0034990)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 4 complex (GO:0030289)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
dynein complex (GO:0030286)	18	0	.21	-	 < 0.01	1.00E00	1.00E00
integral component of synaptic vesicle membrane (GO:0030285)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic density membrane (GO:0099061)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic specialization membrane (GO:0099060)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase complex (GO:1905961)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear replisome (GO:0043601)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
potassium ion-transporting ATPase complex (GO:0031004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule plus-end (GO:1904511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of external side of plasma membrane (GO:0031362)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of presynaptic active zone membrane (GO:0099059)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of presynaptic membrane (GO:0099056)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic membrane (GO:0099055)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
activating signal cointegrator 1 complex (GO:0099053)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
CBM complex (GO:0032449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin responsive factor complex (GO:0032444)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cuticular plate (GO:0032437)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
SMN complex (GO:0032797)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
filopodium tip (GO:0032433)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of Golgi membrane (GO:0090498)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
actin filament bundle (GO:0032432)	36	0	.42	-	 < 0.01	1.00E00	1.00E00
mitochondrial endopeptidase Clp complex (GO:0009841)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner kinetochore (GO:0000939)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GARP complex (GO:0000938)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
P-body (GO:0000932)	49	0	.57	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin large complex (GO:0000931)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex (GO:0000930)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic density membrane (GO:0099031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic specialization membrane (GO:0099030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium tip (GO:0032426)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
super elongation complex (GO:0032783)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNAi effector complex (GO:0031332)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
equatorial microtubule organizing center (GO:0000923)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
HULC complex (GO:0033503)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cortical microtubule plus-end (GO:1903754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic membrane (GO:0099025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	41	0	.48	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum lumen (GO:0099020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of lysosome membrane (GO:0032419)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Piccolo NuA4 histone acetyltransferase complex (GO:0032777)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle lumen (GO:0099013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle membrane (GO:0099012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-vitronectin complex (GO:0071062)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Holliday junction resolvase complex (GO:0048476)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
coated membrane (GO:0048475)	47	0	.55	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome (GO:1990909)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF complex (GO:1990907)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet dense granule (GO:0042827)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endosome membrane (GO:0031313)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
TAP complex (GO:0042825)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
H zone (GO:0031673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I peptide loading complex (GO:0042824)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
A band (GO:0031672)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
intrinsic component of vacuolar membrane (GO:0031310)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
histone mRNA stem-loop binding complex (GO:0062073)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial outer membrane (GO:0031307)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial outer membrane (GO:0031306)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule lumen (GO:1904813)	52	0	.61	-	 < 0.01	1.00E00	1.00E00
integral component of endosome membrane (GO:0031303)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of endosome membrane (GO:0031302)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor dimeric complex (GO:0038037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zona pellucida receptor complex (GO:0002199)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
serine protease inhibitor complex (GO:0097180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CCAAT-binding factor complex (GO:0016602)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
flotillin complex (GO:0016600)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
kinociliary basal body (GO:1902636)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protease inhibitor complex (GO:0097179)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MSL complex (GO:0072487)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase complex (GO:0002189)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
basal cortex (GO:0045180)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear stress granule (GO:0097165)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle (GO:0005798)	39	0	.46	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase complex (GO:0002178)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
manchette (GO:0002177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna (GO:0005797)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
Golgi lumen (GO:0005796)	20	0	.23	-	 < 0.01	1.00E00	1.00E00
integral component of synaptic membrane (GO:0099699)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum (GO:0005791)	32	0	.37	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum (GO:0005790)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
U2-type post-spliceosomal complex (GO:0071021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-spliceosomal complex (GO:0071020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-methylcrotonyl-CoA carboxylase complex, mitochondrial (GO:0002169)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kinesin II complex (GO:0016939)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
signal peptidase complex (GO:0005787)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
signal recognition particle receptor complex (GO:0005785)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Sec61 translocon complex (GO:0005784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisomal matrix (GO:0005782)	31	0	.36	-	 < 0.01	1.00E00	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
catalytic step 2 spliceosome (GO:0071013)	51	0	.60	-	 < 0.01	1.00E00	1.00E00
catalytic step 1 spliceosome (GO:0071012)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
precatalytic spliceosome (GO:0071011)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
prespliceosome (GO:0071010)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
cytoskeleton of presynaptic active zone (GO:0048788)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone membrane (GO:0048787)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone (GO:0048786)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of apical plasma membrane (GO:0098592)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
external side of apical plasma membrane (GO:0098591)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
early phagosome membrane (GO:0036186)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna (GO:0031985)	37	0	.43	-	 < 0.01	1.00E00	1.00E00
vesicle lumen (GO:0031983)	130	0	1.52	-	 < 0.01	4.07E-01	1.00E00
PUMA-BCL-xl complex (GO:0097143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of peroxisomal membrane (GO:0005779)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
autophagosome (GO:0005776)	61	0	.71	-	 < 0.01	1.00E00	1.00E00
ESC/E(Z) complex (GO:0035098)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
HOPS complex (GO:0030897)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
checkpoint clamp complex (GO:0030896)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 2 spliceosome (GO:0071007)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 1 spliceosome (GO:0071006)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
multivesicular body (GO:0005771)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
replisome (GO:0030894)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
U2-type precatalytic spliceosome (GO:0071005)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
meiotic cohesin complex (GO:0030893)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome (GO:0071004)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
mitotic cohesin complex (GO:0030892)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
VCB complex (GO:0030891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U4/U6 snRNP (GO:0071001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RES complex (GO:0070274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spindle pole centrosome (GO:0031616)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclin E2-CDK2 complex (GO:0097135)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin E1-CDK2 complex (GO:0097134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin D3-CDK4 complex (GO:0097130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle envelope lumen (GO:0031970)	37	0	.43	-	 < 0.01	1.00E00	1.00E00
secondary lysosome (GO:0005767)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial small ribosomal subunit (GO:0005763)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link complex (GO:0002142)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome (GO:0005761)	43	0	.50	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link (GO:0002141)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma DNA polymerase complex (GO:0005760)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase complex (GO:0030880)	55	0	.64	-	 < 0.01	1.00E00	1.00E00
inactive sex chromosome (GO:0098577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lumenal side of membrane (GO:0098576)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
lumenal side of lysosomal membrane (GO:0098575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK4 complex (GO:0097129)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle lumen (GO:0097489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle (GO:0097487)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
multivesicular body lumen (GO:0097486)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin A2-CDK2 complex (GO:0097124)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin A1-CDK2 complex (GO:0097123)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit (GO:0022627)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
cytosolic ribosome (GO:0022626)	19	0	.22	-	 < 0.01	1.00E00	1.00E00
stereocilia coupling link (GO:0002139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic large ribosomal subunit (GO:0022625)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
spectrin-associated cytoskeleton (GO:0014731)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space (GO:0005758)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
proteasome accessory complex (GO:0022624)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
mitochondrial permeability transition pore complex (GO:0005757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex (GO:0030877)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted vesicle (GO:0060198)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex IV (GO:0005751)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex III (GO:0005750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mre11 complex (GO:0030870)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intercellular canaliculus (GO:0046581)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
intrinsic component of synaptic vesicle membrane (GO:0098563)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
pole plasm (GO:0045495)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of late endosome membrane (GO:0098560)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment granule membrane (GO:0090741)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
outer dynein arm (GO:0036157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex I (GO:0005747)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
mitochondrial respirasome (GO:0005746)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
ribbon synapse (GO:0097470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
m-AAA complex (GO:0005745)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum membrane (GO:0030868)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum membrane (GO:0030867)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
MLL1 complex (GO:0071339)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
cell pole (GO:0060187)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cortical actin cytoskeleton (GO:0030864)	37	0	.43	-	 < 0.01	1.00E00	1.00E00
cortical cytoskeleton (GO:0030863)	48	0	.56	-	 < 0.01	1.00E00	1.00E00
interchromatin granule (GO:0035061)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
brahma complex (GO:0035060)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of early endosome membrane (GO:0098559)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
perinucleolar chromocenter (GO:0010370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
site of DNA damage (GO:0090734)	48	0	.56	-	 < 0.01	1.00E00	1.00E00
membrane raft (GO:0045121)	102	0	1.19	-	 < 0.01	6.33E-01	1.00E00
pronucleus (GO:0045120)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
Las1 complex (GO:0090730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
filamentous actin (GO:0031941)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
Lewy neurite (GO:0097462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I complex (GO:0005736)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor complex (GO:0002116)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
microspike (GO:0044393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endosome membrane (GO:0010009)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ribosomal subunit (GO:0044391)	59	0	.69	-	 < 0.01	1.00E00	1.00E00
chromocenter (GO:0010369)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization membrane (GO:0099634)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone cytoplasmic component (GO:0099631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium membrane (GO:0060171)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ciliary membrane (GO:0060170)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle lumen (GO:0071682)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
bub1-bub3 complex (GO:1990298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peripheral region of growth cone (GO:0090725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
central region of growth cone (GO:0090724)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton (GO:0045111)	47	0	.55	-	 < 0.01	1.00E00	1.00E00
intercalated disc (GO:0014704)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
TORC2 complex (GO:0031932)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
TORC1 complex (GO:0031931)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
GAIT complex (GO:0097452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
junctional sarcoplasmic reticulum membrane (GO:0014701)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial limiting end-foot (GO:0097451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perichromatin fibrils (GO:0005726)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
astrocyte end-foot (GO:0097450)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane microtubule tethering complex (GO:0106094)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
podosome (GO:0002102)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin (GO:0005721)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
