




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
neurotransmitter transmembrane transporter activity (GO:0005326)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transporter activity (GO:0005324)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	29	0	.83	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein kinase activity (GO:0034211)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming phosphoric ester bonds (GO:0016886)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-carbon bonds (GO:0016885)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
ligand-gated cation channel activity (GO:0099094)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin II head/neck binding (GO:0032034)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
P-TEFb complex binding (GO:0106140)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
glucuronolactone reductase activity (GO:0047941)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
high-affinity inorganic phosphate:sodium symporter activity (GO:0005316)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inorganic phosphate transmembrane transporter activity (GO:0005315)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
high-affinity glutamate transmembrane transporter activity (GO:0005314)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycolipid floppase activity (GO:0034202)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	22	0	.63	-	 < 0.01	1.00E00	1.00E00
myosin head/neck binding (GO:0032028)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intramolecular lyase activity (GO:0016872)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase activity (GO:0004222)	38	0	1.09	-	 < 0.01	6.27E-01	1.00E00
IkappaB kinase complex binding (GO:0106137)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
opsin binding (GO:0002046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-glucuronate reductase activity (GO:0047939)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase [NAD(P)] activity (GO:0047936)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NADP+) activity (GO:0047935)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose 1-dehydrogenase (NAD+) activity (GO:0047934)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxyapatite binding (GO:0046848)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
creatine:sodium symporter activity (GO:0005309)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
creatine transmembrane transporter activity (GO:0005308)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine-specific phospholipase D activity (GO:0070290)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity, phosphotransferases (GO:0016868)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
long-chain-fatty-acyl-CoA reductase activity (GO:0050062)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
long-chain-aldehyde dehydrogenase activity (GO:0050061)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ferritin receptor activity (GO:0070287)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
methyl indole-3-acetate esterase activity (GO:0080030)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
GDP-mannose 3,5-epimerase activity (GO:0047918)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin receptor substrate binding (GO:0043560)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
vitamin B6 binding (GO:0070279)	29	0	.83	-	 < 0.01	1.00E00	1.00E00
metal ion:proton antiporter activity (GO:0051139)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
3R-hydroxyacyl-CoA dehydratase activity (GO:0080023)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon-sulfur lyase activity (GO:0016846)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
strictosidine synthase activity (GO:0016844)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
amine-lyase activity (GO:0016843)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
delta7-sterol 5(6)-desaturase activity (GO:0050046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
ammonia-lyase activity (GO:0016841)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
insulin binding (GO:0043559)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
histone deacetylase inhibitor activity (GO:0046811)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-xylulose reductase (NADP+) activity (GO:0050038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	20	0	.57	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
L-pipecolate oxidase activity (GO:0050031)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin transmembrane transporter activity (GO:0090482)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor binding (GO:0043546)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tyrosyl-DNA phosphodiesterase activity (GO:0070259)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pristanate-CoA ligase activity (GO:0070251)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sugar transmembrane transporter activity (GO:0051119)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
ceramide floppase activity (GO:0099038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (GO:0016823)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cyanocobalamin reductase (cyanide-eliminating) activity (GO:0033787)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds (GO:0016822)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor activity (GO:0004897)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
L-fuconate dehydratase activity (GO:0050023)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol 1,3,4,5 tetrakisphosphate binding (GO:0043533)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
angiostatin binding (GO:0043532)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ADP binding (GO:0043531)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-monophosphoramidase activity (GO:0043530)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides (GO:0016819)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
itaconyl-CoA hydratase activity (GO:0050011)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucocorticoid receptor activity (GO:0004883)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
heme binding (GO:0020037)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
FMN transmembrane transporter activity (GO:0044610)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lysozyme activity (GO:0003796)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leucine zipper domain binding (GO:0043522)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	40	0	1.14	-	 < 0.01	6.29E-01	1.00E00
mRNA binding involved in posttranscriptional gene silencing (GO:1903231)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cysteine-type carboxypeptidase activity (GO:0016807)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ether hydrolase activity (GO:0016803)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
trialkylsulfonium hydrolase activity (GO:0016802)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on ether bonds (GO:0016801)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-CH group of donors (GO:0033765)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
complement receptor activity (GO:0004875)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein adenylylhydrolase activity (GO:0044603)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
kinetochore binding (GO:0043515)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
actin monomer binding (GO:0003785)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
sulfide:quinone oxidoreductase activity (GO:0070224)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052899)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity (GO:0052895)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
norspermine:oxygen oxidoreductase activity (GO:0052894)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor (GO:0052890)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
indoleamine 2,3-dioxygenase activity (GO:0033754)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
microtubule motor activity (GO:0003777)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
angiotensin type I receptor activity (GO:0001596)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
angiotensin receptor activity (GO:0001595)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-arginine-3 demethylase activity (GO:0033749)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase inhibitor activity (GO:0004859)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-arginine-2 demethylase activity (GO:0033746)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
xylulokinase activity (GO:0004856)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine:thioredoxin-disulfide S-oxidoreductase activity (GO:0033744)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycogen synthase activity, transferring glucose-1-phosphate (GO:0061547)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oleoyl-CoA ligase activity (GO:0090434)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA ligase activity (GO:0090433)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen decarboxylase activity (GO:0004853)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen-III synthase activity (GO:0004852)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinol-n 3-O-methyltransferase activity (GO:0061542)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
calcidiol binding (GO:1902118)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
misfolded protein binding (GO:0051787)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
uridine kinase activity (GO:0004849)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
1-pyrroline dehydrogenase activity (GO:0033737)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
WW domain binding (GO:0050699)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
uracil DNA N-glycosylase activity (GO:0004844)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
thiamine pyrophosphate transmembrane transporter activity (GO:0090422)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate phosphatase activity (GO:0052866)	24	0	.69	-	 < 0.01	1.00E00	1.00E00
serine transmembrane transporter activity (GO:0022889)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
uridylate kinase activity (GO:0009041)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquitin activating enzyme activity (GO:0004839)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
macromolecule transmembrane transporter activity (GO:0022884)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
tryptophan 2,3-dioxygenase activity (GO:0004833)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
valine-tRNA ligase activity (GO:0004832)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
translation release factor activity (GO:0003747)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tyrosine-tRNA ligase activity (GO:0004831)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mycophenolic acid acyl-glucuronide esterase activity (GO:0102390)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
AF-2 domain binding (GO:0050682)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
androgen receptor binding (GO:0050681)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
translation initiation factor activity (GO:0003743)	31	0	.89	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline 4-dioxygenase activity (GO:0031545)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline 3-dioxygenase activity (GO:0031544)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline dioxygenase activity (GO:0031543)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine acetyltransferase activity (GO:0052858)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ADP-dependent NAD(P)H-hydrate dehydratase activity (GO:0052855)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase (NADPH) activity (GO:0052851)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate kinase activity (GO:0051766)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA synthetase activity (GO:0090409)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polyprenol reductase activity (GO:0102389)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
threonine-tRNA ligase activity (GO:0004829)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate kinase activity (GO:0051765)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proline-tRNA ligase activity (GO:0004827)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase activity (GO:0004826)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
methionine-tRNA ligase activity (GO:0004825)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leucine-tRNA ligase activity (GO:0004823)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
isoleucine-tRNA ligase activity (GO:0004822)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate:inorganic phosphate antiporter activity (GO:0061513)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
WD40-repeat domain binding (GO:0071987)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
thyrotropin-releasing hormone receptor binding (GO:0031531)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipoteichoic acid immune receptor activity (GO:0070892)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipoteichoic acid binding (GO:0070891)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamine-tRNA ligase activity (GO:0004819)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanosine-2'-O-)-methyltransferase activity (GO:0009020)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-tRNA ligase activity (GO:0004817)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
asparagine-tRNA ligase activity (GO:0004816)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
aspartate-tRNA ligase activity (GO:0004815)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-mannosyltransferase activity (GO:0051751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2',3'-cyclic GMP-AMP binding (GO:0061507)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arginine-tRNA ligase activity (GO:0004814)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
alanine-tRNA ligase activity (GO:0004813)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA ligase activity (GO:0004812)	22	0	.63	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA adenosine deaminase activity (GO:0003726)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA adenylyltransferase activity (GO:0004810)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA binding (GO:0003725)	39	0	1.11	-	 < 0.01	6.28E-01	1.00E00
RNA helicase activity (GO:0003724)	45	0	1.29	-	 < 0.01	6.37E-01	1.00E00
4-hydroxybenzoate nonaprenyltransferase activity (GO:0047293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lactosylceramide alpha-2,3-sialyltransferase activity (GO:0047291)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
telomerase activity (GO:0003720)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity (GO:0047290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
structural molecule activity conferring elasticity (GO:0097493)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
inositol diphosphate tetrakisphosphate kinase activity (GO:0052839)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N1-)-methyltransferase activity (GO:0009019)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
inositol 5-diphosphate pentakisphosphate 5-kinase activity (GO:0052836)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
pre-miRNA binding (GO:0070883)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate phosphatase activity (GO:0052834)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 4-phosphatase activity (GO:0052833)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase [NAD(P)+] activity (GO:0009013)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP-monosaccharide-1-phosphate uridylyltransferase activity (GO:0051748)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 3-phosphatase activity (GO:0052832)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
cytosine C-5 DNA demethylase activity (GO:0051747)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alanine transmembrane transporter activity (GO:0022858)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N2-)-methyltransferase activity (GO:0004809)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity (GO:0050659)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate binding (GO:0050656)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transposase activity (GO:0004803)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monosialoganglioside sialyltransferase activity (GO:0047288)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription elongation regulator activity (GO:0003711)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nicotinamide phosphoribosyltransferase activity (GO:0047280)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine 4-O-sulfotransferase activity (GO:0001537)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
primary miRNA binding (GO:0070878)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
inositol-3,4-bisphosphate 4-phosphatase activity (GO:0052828)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA-methyltransferase activity (GO:0009008)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
site-specific DNA-methyltransferase (adenine-specific) activity (GO:0009007)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide binding (GO:0001530)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylguanine glycosylase activity (GO:0052822)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-7-methyladenine glycosylase activity (GO:0052821)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
selenocysteine lyase activity (GO:0009000)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polynucleotide kinase activity (GO:0051734)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
polydeoxyribonucleotide kinase activity (GO:0051733)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
voltage-gated cation channel activity (GO:0022843)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-hydroxyl-kinase activity (GO:0051731)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
11-cis-retinol dehydrogenase activity (GO:0102354)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
narrow pore channel activity (GO:0022842)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
potassium ion leak channel activity (GO:0022841)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leak channel activity (GO:0022840)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
steroid hormone receptor activity (GO:0003707)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity (GO:0047275)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity (GO:0047273)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
medium-chain acyl-CoA hydrolase activity (GO:0052815)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
medium-chain-aldehyde dehydrogenase activity (GO:0052814)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 5-kinase activity (GO:0052812)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
ion gated channel activity (GO:0022839)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-5-kinase activity (GO:0052810)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
gated channel activity (GO:0022836)	51	0	1.46	-	 < 0.01	4.05E-01	1.00E00
NAD transmembrane transporter activity (GO:0051724)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transmitter-gated channel activity (GO:0022835)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sulfur compound transmembrane transporter activity (GO:1901682)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
ligand-gated channel activity (GO:0022834)	20	0	.57	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-lignoceroyl-CoA dehydratase activity (GO:0102345)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-behenoyl-CoA dehydratase activity (GO:0102344)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
voltage-gated channel activity (GO:0022832)	33	0	.94	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-arachidoyl-CoA dehydratase activity (GO:0102343)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
3-oxo-cerotoyl-CoA reductase activity (GO:0102342)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-oxo-lignoceroyl-CoA reductase activity (GO:0102341)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
