




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
RNA nuclear export complex (GO:0042565)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
elongator holoenzyme complex (GO:0033588)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
stress fiber (GO:0001725)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
integrin alpha2-beta1 complex (GO:0034666)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule (GO:0031045)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Dsl1/NZR complex (GO:0070939)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum chaperone complex (GO:0034663)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
contractile ring (GO:0070938)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stability complex (GO:0070937)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
proximal dendrite (GO:1990635)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
MCM complex (GO:0042555)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
IRE1-RACK1-PP2A complex (GO:1990630)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum protein-containing complex (GO:0140534)	63	0	1.06	-	 < 0.01	6.28E-01	1.00E00
stereocilium base (GO:0120044)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
catenin complex (GO:0016342)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
stereocilium shaft (GO:0120043)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic density, intracellular component (GO:0099092)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
myelin sheath adaxonal region (GO:0035749)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
myelin sheath abaxonal region (GO:0035748)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dense core granule membrane (GO:0032127)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	68	0	1.14	-	 < 0.01	6.31E-01	1.00E00
GID complex (GO:0034657)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Elg1 RFC-like complex (GO:0031391)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF3 complex (GO:1990622)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Ctf18 RFC-like complex (GO:0031390)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
ESCRT-0 complex (GO:0033565)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
synaptonemal structure (GO:0099086)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
SMC loading complex (GO:0032116)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Set1C/COMPASS complex (GO:0048188)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
delta DNA polymerase complex (GO:0043625)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Rad17 RFC-like complex (GO:0031389)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF4 complex (GO:1990617)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
interphase microtubule organizing center (GO:0031021)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear RNA-directed RNA polymerase complex (GO:0031380)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
multimerin complex (GO:1990972)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral plasma membrane (GO:0016328)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
Slx1-Slx4 complex (GO:0033557)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
BORC complex (GO:0099078)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
apicolateral plasma membrane (GO:0016327)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
Prp19 complex (GO:0000974)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
rDNA heterochromatin (GO:0033553)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
activin receptor complex (GO:0048179)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
multi-eIF complex (GO:0043614)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA-directed RNA polymerase complex (GO:0031379)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase I complex (GO:0034998)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Ino80 complex (GO:0031011)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
IRE1-TRAF2-ASK1 complex (GO:1990604)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
UBC13-MMS2 complex (GO:0031372)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
ISWI-type complex (GO:0031010)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center attachment site (GO:0034992)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear meiotic cohesin complex (GO:0034991)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme complex (GO:0031371)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
calcitonin family receptor complex (GO:1903439)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear mitotic cohesin complex (GO:0034990)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 4 complex (GO:0030289)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
dynein complex (GO:0030286)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
integral component of synaptic vesicle membrane (GO:0030285)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase complex (GO:1905961)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nuclear replisome (GO:0043601)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
potassium ion-transporting ATPase complex (GO:0031004)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule plus-end (GO:1904511)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
anchored component of external side of plasma membrane (GO:0031362)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
activating signal cointegrator 1 complex (GO:0099053)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
CBM complex (GO:0032449)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
activin responsive factor complex (GO:0032444)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
outer kinetochore (GO:0000940)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cuticular plate (GO:0032437)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Swi5-Sfr1 complex (GO:0032798)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SMN complex (GO:0032797)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
extrinsic component of Golgi membrane (GO:0090498)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
filopodium tip (GO:0032433)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
actin filament bundle (GO:0032432)	36	0	.60	-	 < 0.01	1.00E00	1.00E00
mitochondrial endopeptidase Clp complex (GO:0009841)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inner kinetochore (GO:0000939)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
GARP complex (GO:0000938)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
P-body (GO:0000932)	52	0	.87	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin large complex (GO:0000931)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex (GO:0000930)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic density membrane (GO:0099031)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic specialization membrane (GO:0099030)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
stereocilium tip (GO:0032426)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
super elongation complex (GO:0032783)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
stereocilium bundle (GO:0032421)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
stereocilium (GO:0032420)	17	0	.29	-	 < 0.01	1.00E00	1.00E00
dendritic microtubule (GO:1901588)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RNAi effector complex (GO:0031332)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
anchored component of presynaptic active zone membrane (GO:0099029)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
anchored component of presynaptic membrane (GO:0099026)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
equatorial microtubule organizing center (GO:0000923)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic membrane (GO:0099025)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
HULC complex (GO:0033503)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cortical microtubule plus-end (GO:1903754)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle pole (GO:0000922)	102	0	1.71	-	 < 0.01	4.18E-01	1.00E00
vesicle tethering complex (GO:0099023)	41	0	.69	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum lumen (GO:0099020)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Piccolo NuA4 histone acetyltransferase complex (GO:0032777)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle lumen (GO:0099013)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle membrane (GO:0099012)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex (GO:0071065)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-vitronectin complex (GO:0071062)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Holliday junction resolvase complex (GO:0048476)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome (GO:1990909)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial outer membrane (GO:0031315)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF complex (GO:1990907)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
platelet dense granule (GO:0042827)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endosome membrane (GO:0031313)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic component of organelle membrane (GO:0031312)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
TAP complex (GO:0042825)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
H zone (GO:0031673)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
MHC class I peptide loading complex (GO:0042824)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
A band (GO:0031672)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
intrinsic component of vacuolar membrane (GO:0031310)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
histone mRNA stem-loop binding complex (GO:0062073)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial outer membrane (GO:0031307)	14	0	.24	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial outer membrane (GO:0031306)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
integral component of endosome membrane (GO:0031303)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of endosome membrane (GO:0031302)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor dimeric complex (GO:0038037)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
serine protease inhibitor complex (GO:0097180)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
MAML1-RBP-Jkappa- ICN1 complex (GO:0002193)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CCAAT-binding factor complex (GO:0016602)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
flotillin complex (GO:0016600)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
kinociliary basal body (GO:1902636)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
protease inhibitor complex (GO:0097179)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
MSL complex (GO:0072487)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase complex (GO:0002189)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
basal cortex (GO:0045180)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear stress granule (GO:0097165)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle (GO:0005798)	43	0	.72	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase complex (GO:0002178)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
manchette (GO:0002177)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna (GO:0005797)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
Golgi lumen (GO:0005796)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
Golgi stack (GO:0005795)	68	0	1.14	-	 < 0.01	6.31E-01	1.00E00
rough endoplasmic reticulum (GO:0005791)	32	0	.54	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum (GO:0005790)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
U2-type post-spliceosomal complex (GO:0071021)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
post-spliceosomal complex (GO:0071020)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
apical cortex (GO:0045179)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
3-methylcrotonyl-CoA carboxylase complex, mitochondrial (GO:0002169)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
kinesin II complex (GO:0016939)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
signal peptidase complex (GO:0005787)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
kinesin I complex (GO:0016938)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
signal recognition particle receptor complex (GO:0005785)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
catalytic step 2 spliceosome (GO:0071013)	50	0	.84	-	 < 0.01	1.00E00	1.00E00
catalytic step 1 spliceosome (GO:0071012)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
precatalytic spliceosome (GO:0071011)	23	0	.39	-	 < 0.01	1.00E00	1.00E00
prespliceosome (GO:0071010)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
cytoskeleton of presynaptic active zone (GO:0048788)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mucin granule (GO:0098594)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of apical plasma membrane (GO:0098592)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
external side of apical plasma membrane (GO:0098591)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna (GO:0031985)	48	0	.81	-	 < 0.01	1.00E00	1.00E00
BAK complex (GO:0097145)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
BAX complex (GO:0097144)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
PUMA-BCL-xl complex (GO:0097143)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of peroxisomal membrane (GO:0005779)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-2 complex (GO:0097141)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-xl complex (GO:0097140)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
autophagosome (GO:0005776)	64	0	1.08	-	 < 0.01	6.28E-01	1.00E00
ESC/E(Z) complex (GO:0035098)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase complex (GO:0035097)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
HOPS complex (GO:0030897)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
checkpoint clamp complex (GO:0030896)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 2 spliceosome (GO:0071007)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 1 spliceosome (GO:0071006)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
multivesicular body (GO:0005771)	29	0	.49	-	 < 0.01	1.00E00	1.00E00
replisome (GO:0030894)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	38	0	.64	-	 < 0.01	1.00E00	1.00E00
U2-type precatalytic spliceosome (GO:0071005)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
meiotic cohesin complex (GO:0030893)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome (GO:0071004)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
mitotic cohesin complex (GO:0030892)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
VCB complex (GO:0030891)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
U4/U6 snRNP (GO:0071001)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle pole centrosome (GO:0031616)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
Bcl-2 family protein complex (GO:0097136)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclin E2-CDK2 complex (GO:0097135)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin E1-CDK2 complex (GO:0097134)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK6 complex (GO:0097132)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin D3-CDK4 complex (GO:0097130)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
secondary lysosome (GO:0005767)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial small ribosomal subunit (GO:0005763)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	32	0	.54	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link complex (GO:0002142)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome (GO:0005761)	45	0	.76	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link (GO:0002141)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma DNA polymerase complex (GO:0005760)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase complex (GO:0030880)	63	0	1.06	-	 < 0.01	6.28E-01	1.00E00
inactive sex chromosome (GO:0098577)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lumenal side of membrane (GO:0098576)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
lumenal side of lysosomal membrane (GO:0098575)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of lysosomal membrane (GO:0098574)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK4 complex (GO:0097129)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle lumen (GO:0097489)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane (GO:0031965)	156	0	2.62	-	 < 0.01	1.88E-01	1.00E00
multivesicular body, internal vesicle (GO:0097487)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
multivesicular body lumen (GO:0097486)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin A2-CDK2 complex (GO:0097124)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclin A1-CDK2 complex (GO:0097123)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit (GO:0022627)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
stereocilia coupling link (GO:0002139)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spectrin-associated cytoskeleton (GO:0014731)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial permeability transition pore complex (GO:0005757)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted vesicle (GO:0060198)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex IV (GO:0005751)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleolar chromatin (GO:0030874)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex III (GO:0005750)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Mre11 complex (GO:0030870)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
intercellular canaliculus (GO:0046581)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
intrinsic component of synaptic vesicle membrane (GO:0098563)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
pole plasm (GO:0045495)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of membrane (GO:0098562)	83	0	1.39	-	 < 0.01	6.49E-01	1.00E00
cytoplasmic side of late endosome membrane (GO:0098560)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
pigment granule membrane (GO:0090741)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
outer dynein arm (GO:0036157)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
inner dynein arm (GO:0036156)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribbon synapse (GO:0097470)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
m-AAA complex (GO:0005745)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum membrane (GO:0030868)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum membrane (GO:0030867)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
MLL1 complex (GO:0071339)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
cell pole (GO:0060187)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cortical actin cytoskeleton (GO:0030864)	41	0	.69	-	 < 0.01	1.00E00	1.00E00
interchromatin granule (GO:0035061)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
brahma complex (GO:0035060)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of early endosome membrane (GO:0098559)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
perinucleolar chromocenter (GO:0010370)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
pronucleus (GO:0045120)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Las1 complex (GO:0090730)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Lewy neurite (GO:0097462)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I complex (GO:0005736)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor complex (GO:0002116)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
microspike (GO:0044393)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endosome membrane (GO:0010009)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
chromocenter (GO:0010369)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
nucleolus organizer region (GO:0005731)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone cytoplasmic component (GO:0099631)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilium membrane (GO:0060171)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
ciliary membrane (GO:0060170)	27	0	.45	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle lumen (GO:0071682)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
bub1-bub3 complex (GO:1990298)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peripheral region of growth cone (GO:0090725)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
central region of growth cone (GO:0090724)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber (GO:0097457)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
TORC2 complex (GO:0031932)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Schwann cell microvillus (GO:0097454)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
TORC1 complex (GO:0031931)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
junctional sarcoplasmic reticulum membrane (GO:0014701)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
GAIT complex (GO:0097452)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glial limiting end-foot (GO:0097451)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
astrocyte end-foot (GO:0097450)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
perichromatin fibrils (GO:0005726)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear membrane microtubule tethering complex (GO:0106094)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
podosome (GO:0002102)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin (GO:0005721)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
