




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
vesicle lumen (GO:0031983)	92	0	.73	-	 < 0.01	1.00E00	1.00E00
PUMA-BCL-xl complex (GO:0097143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of peroxisomal membrane (GO:0005779)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-2 complex (GO:0097141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-xl complex (GO:0097140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome (GO:0005776)	44	0	.35	-	 < 0.01	1.00E00	1.00E00
ESC/E(Z) complex (GO:0035098)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
vacuolar lumen (GO:0005775)	55	0	.44	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase complex (GO:0035097)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
vacuolar membrane (GO:0005774)	139	0	1.11	-	 < 0.01	6.27E-01	1.00E00
HOPS complex (GO:0030897)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
checkpoint clamp complex (GO:0030896)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 2 spliceosome (GO:0071007)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 1 spliceosome (GO:0071006)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
multivesicular body (GO:0005771)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
replisome (GO:0030894)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
U2-type precatalytic spliceosome (GO:0071005)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
late endosome (GO:0005770)	99	0	.79	-	 < 0.01	1.00E00	1.00E00
meiotic cohesin complex (GO:0030893)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome (GO:0071004)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic cohesin complex (GO:0030892)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
VCB complex (GO:0030891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U4/U6 snRNP (GO:0071001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment granule (GO:0048770)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
spindle pole centrosome (GO:0031616)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Bcl-2 family protein complex (GO:0097136)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
early endosome (GO:0005769)	141	0	1.12	-	 < 0.01	6.28E-01	1.00E00
organelle envelope lumen (GO:0031970)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
secondary lysosome (GO:0005767)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
primary lysosome (GO:0005766)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
lysosomal membrane (GO:0005765)	125	0	1.00	-	 < 0.01	6.25E-01	1.00E00
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial small ribosomal subunit (GO:0005763)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link complex (GO:0002142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome (GO:0005761)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link (GO:0002141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma DNA polymerase complex (GO:0005760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase complex (GO:0030880)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
inactive sex chromosome (GO:0098577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lumenal side of membrane (GO:0098576)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
lumenal side of lysosomal membrane (GO:0098575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of lysosomal membrane (GO:0098574)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial membrane (GO:0098573)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
organelle outer membrane (GO:0031968)	81	0	.65	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle lumen (GO:0097489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial membrane (GO:0031966)	230	0	1.83	-	 < 0.01	2.59E-01	1.00E00
multivesicular body, internal vesicle (GO:0097487)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
multivesicular body lumen (GO:0097486)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit (GO:0022627)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cytosolic ribosome (GO:0022626)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
stereocilia coupling link (GO:0002139)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytosolic large ribosomal subunit (GO:0022625)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
spectrin-associated cytoskeleton (GO:0014731)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space (GO:0005758)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
proteasome accessory complex (GO:0022624)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex (GO:0030877)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted vesicle (GO:0060198)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex IV (GO:0005751)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex III (GO:0005750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mre11 complex (GO:0030870)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intercellular canaliculus (GO:0046581)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of synaptic vesicle membrane (GO:0098563)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pole plasm (GO:0045495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of membrane (GO:0098562)	54	0	.43	-	 < 0.01	1.00E00	1.00E00
pigment granule membrane (GO:0090741)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex I (GO:0005747)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial respirasome (GO:0005746)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
ribbon synapse (GO:0097470)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
m-AAA complex (GO:0005745)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum membrane (GO:0030868)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum membrane (GO:0030867)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane (GO:0005743)	138	0	1.10	-	 < 0.01	6.27E-01	1.00E00
MLL1 complex (GO:0071339)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
cell pole (GO:0060187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane (GO:0005741)	76	0	.61	-	 < 0.01	1.00E00	1.00E00
cortical actin cytoskeleton (GO:0030864)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
mitochondrial envelope (GO:0005740)	246	0	1.96	-	 < 0.01	2.61E-01	1.00E00
cortical cytoskeleton (GO:0030863)	39	0	.31	-	 < 0.01	1.00E00	1.00E00
interchromatin granule (GO:0035061)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
brahma complex (GO:0035060)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of early endosome membrane (GO:0098559)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perinucleolar chromocenter (GO:0010370)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
site of DNA damage (GO:0090734)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
side of membrane (GO:0098552)	117	0	.93	-	 < 0.01	1.00E00	1.00E00
Las1 complex (GO:0090730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronucleus (GO:0045120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
filamentous actin (GO:0031941)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
Lewy neurite (GO:0097462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I complex (GO:0005736)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor complex (GO:0002116)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microspike (GO:0044393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endosome membrane (GO:0010009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endosome membrane (GO:0010008)	167	0	1.33	-	 < 0.01	6.42E-01	1.00E00
ribosomal subunit (GO:0044391)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
chromocenter (GO:0010369)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization membrane (GO:0099634)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
stereocilium membrane (GO:0060171)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary membrane (GO:0060170)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle lumen (GO:0071682)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein kinase complex (GO:1902911)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
peripheral region of growth cone (GO:0090725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bub1-bub3 complex (GO:1990298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
central region of growth cone (GO:0090724)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton (GO:0045111)	36	0	.29	-	 < 0.01	1.00E00	1.00E00
intercalated disc (GO:0014704)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
TORC2 complex (GO:0031932)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
TORC1 complex (GO:0031931)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
junctional sarcoplasmic reticulum membrane (GO:0014701)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
GAIT complex (GO:0097452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial limiting end-foot (GO:0097451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
astrocyte end-foot (GO:0097450)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear membrane microtubule tethering complex (GO:0106094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perichromatin fibrils (GO:0005726)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
podosome (GO:0002102)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
pericentric heterochromatin (GO:0005721)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
