




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
regulation of production of small RNA involved in gene silencing by RNA (GO:0070920)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil extravasation (GO:2000389)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of ectoderm development (GO:2000384)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ectoderm development (GO:2000383)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesoderm development (GO:2000381)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mesoderm development (GO:2000380)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
production of small RNA involved in gene silencing by RNA (GO:0070918)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
UV-damage excision repair (GO:0070914)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
global genome nucleotide-excision repair (GO:0070911)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of reactive oxygen species metabolic process (GO:2000379)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of reactive oxygen species metabolic process (GO:2000378)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of reactive oxygen species metabolic process (GO:2000377)	36	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of oxygen metabolic process (GO:2000374)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000373)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000371)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of clathrin-dependent endocytosis (GO:2000370)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
angiogenesis (GO:0001525)	91	0	.73	-	 < 0.01	1.00E00	1.00E00
aminophospholipid translocation (GO:0140331)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
retinoid metabolic process (GO:0001523)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthesis (GO:0001522)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA methylation (GO:0070901)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA modification (GO:0070900)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-12 production (GO:0032695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-10 production (GO:0032693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of clathrin-dependent endocytosis (GO:2000369)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-1 production (GO:0032692)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-1 beta production (GO:0032691)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide amidation (GO:0001519)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin biosynthetic process (GO:0001516)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
selenocysteine incorporation (GO:0001514)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation by symbiont of host autophagy (GO:0140321)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA methylation (GO:0001510)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
adhesion of symbiont to host cell (GO:0044650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of interferon-gamma production (GO:0032689)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of interferon-beta production (GO:0032688)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of interferon-alpha production (GO:0032687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chemokine production (GO:0032682)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of tumor necrosis factor production (GO:0032680)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell apoptotic process (GO:2000353)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of endothelial cell apoptotic process (GO:2000352)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
action potential (GO:0001508)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell apoptotic process (GO:2000351)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter levels (GO:0001505)	42	0	.34	-	 < 0.01	1.00E00	1.00E00
neurotransmitter uptake (GO:0001504)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ossification (GO:0001503)	68	0	.54	-	 < 0.01	1.00E00	1.00E00
cartilage condensation (GO:0001502)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
skeletal system development (GO:0001501)	127	0	1.01	-	 < 0.01	6.25E-01	1.00E00
histone H3-K4 dimethylation (GO:0044648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-8 production (GO:0032677)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-6 production (GO:0032675)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-5 production (GO:0032674)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-4 production (GO:0032673)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of CD40 signaling pathway (GO:2000348)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hepatocyte proliferation (GO:2000347)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hepatocyte proliferation (GO:2000346)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hepatocyte proliferation (GO:2000345)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of acrosome reaction (GO:2000344)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000341)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
serine import into mitochondrion (GO:0140300)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine acetylation (GO:0018394)	61	0	.49	-	 < 0.01	1.00E00	1.00E00
internal peptidyl-lysine acetylation (GO:0018393)	59	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-23 production (GO:0032667)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-21 production (GO:0032665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-2 production (GO:0032663)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of chemokine (C-X-C motif) ligand 1 production (GO:2000338)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-18 production (GO:0032661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-17 production (GO:0032660)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood microparticle formation (GO:2000334)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of blood microparticle formation (GO:2000332)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of terminal button organization (GO:2000331)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of keratinocyte apoptotic process (GO:1902174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of keratinocyte apoptotic process (GO:1902172)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to reactive nitrogen species (GO:1902170)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-13 production (GO:0032656)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-12 production (GO:0032655)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-10 production (GO:0032653)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-1 production (GO:0032652)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-1 beta production (GO:0032651)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of glucocorticoid receptor signaling pathway (GO:2000322)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of T-helper 17 cell differentiation (GO:2000321)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of T-helper 17 cell differentiation (GO:2000320)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein myristoylation (GO:0018377)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:1902164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:1902162)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of interferon-gamma production (GO:0032649)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of interferon-alpha production (GO:0032647)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of T-helper 17 cell differentiation (GO:2000319)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of chemokine production (GO:0032642)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of T-helper 17 type immune response (GO:2000318)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of T-helper 17 type immune response (GO:2000317)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of T-helper 17 type immune response (GO:2000316)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of kainate selective glutamate receptor activity (GO:2000312)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of AMPA receptor activity (GO:2000311)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of NMDA receptor activity (GO:2000310)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamine methylation (GO:0018364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA metabolic process (GO:0006399)	59	0	.47	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein deadenylylation (GO:0044602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein denucleotidylation (GO:0044601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
termination of mitochondrial transcription (GO:0006393)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription initiation from mitochondrial promoter (GO:0006391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription (GO:0006390)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of ceramide biosynthetic process (GO:2000304)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ceramide biosynthetic process (GO:2000303)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic vesicle exocytosis (GO:2000301)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle exocytosis (GO:2000300)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription initiation from RNA polymerase III promoter (GO:0006384)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription by RNA polymerase III (GO:0006383)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
adenosine to inosine editing (GO:0006382)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein palmitoylation (GO:0018345)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranylation (GO:0018344)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein farnesylation (GO:0018343)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein prenylation (GO:0018342)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage (GO:0006379)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
mRNA polyadenylation (GO:0006378)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
mRNA splice site selection (GO:0006376)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
7-methylguanosine mRNA capping (GO:0006370)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to fatty acid (GO:0071398)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to cholesterol (GO:0071397)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to lipid (GO:0071396)	131	0	1.04	-	 < 0.01	6.26E-01	1.00E00
protein succinylation (GO:0018335)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to testosterone stimulus (GO:0071394)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to estradiol stimulus (GO:0071392)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to estrogen stimulus (GO:0071391)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
termination of RNA polymerase II transcription (GO:0006369)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription elongation from RNA polymerase II promoter (GO:0006368)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
transcription initiation from RNA polymerase II promoter (GO:0006367)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
transcription by RNA polymerase II (GO:0006366)	95	0	.76	-	 < 0.01	1.00E00	1.00E00
rRNA processing (GO:0006364)	87	0	.69	-	 < 0.01	1.00E00	1.00E00
termination of RNA polymerase I transcription (GO:0006363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription elongation from RNA polymerase I promoter (GO:0006362)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription initiation from RNA polymerase I promoter (GO:0006361)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription by RNA polymerase I (GO:0006360)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular response to mineralocorticoid stimulus (GO:0071389)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to corticosterone stimulus (GO:0071386)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to glucocorticoid stimulus (GO:0071385)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of organelle assembly (GO:1902117)	37	0	.30	-	 < 0.01	1.00E00	1.00E00
cellular response to corticosteroid stimulus (GO:0071384)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of organelle assembly (GO:1902116)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	51	0	.41	-	 < 0.01	1.00E00	1.00E00
regulation of organelle assembly (GO:1902115)	83	0	.66	-	 < 0.01	1.00E00	1.00E00
cellular response to prostaglandin E stimulus (GO:0071380)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transcription by RNA polymerase III (GO:0006359)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, elongation (GO:0006354)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, termination (GO:0006353)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, initiation (GO:0006352)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
transcription, DNA-templated (GO:0006351)	161	0	1.28	-	 < 0.01	6.38E-01	1.00E00
intracellular transport of virus (GO:0075733)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
viral penetration into host nucleus (GO:0075732)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to prostaglandin stimulus (GO:0071379)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to growth hormone stimulus (GO:0071378)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein C-linked glycosylation via tryptophan (GO:0018317)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902109)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to corticotropin-releasing hormone stimulus (GO:0071376)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	72	0	.57	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte differentiation (GO:1902107)	31	0	.25	-	 < 0.01	1.00E00	1.00E00
cellular response to parathyroid hormone stimulus (GO:0071374)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte differentiation (GO:1902106)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte differentiation (GO:1902105)	56	0	.45	-	 < 0.01	1.00E00	1.00E00
cellular response to follicle-stimulating hormone stimulus (GO:0071372)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to gonadotropin stimulus (GO:0071371)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of hair follicle development (GO:0051798)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA methylation-dependent heterochromatin assembly (GO:0006346)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hair follicle development (GO:0051797)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of timing of catagen (GO:0051795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of timing of catagen (GO:0051794)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid catabolic process (GO:0051793)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid biosynthetic process (GO:0051792)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid metabolic process (GO:0051791)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid biosynthetic process (GO:0051790)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to epidermal growth factor stimulus (GO:0071364)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular response to growth factor stimulus (GO:0071363)	149	0	1.19	-	 < 0.01	6.31E-01	1.00E00
cellular response to ether (GO:0071362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to ethanol (GO:0071361)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to exogenous dsRNA (GO:0071360)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleosome disassembly (GO:0006337)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
response to misfolded protein (GO:0051788)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA replication-independent chromatin assembly (GO:0006336)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA replication-dependent chromatin assembly (GO:0006335)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleosome assembly (GO:0006334)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclear division (GO:0051785)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclear division (GO:0051784)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear division (GO:0051783)	33	0	.26	-	 < 0.01	1.00E00	1.00E00
DNA double-strand break attachment to nuclear envelope (GO:1990683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell division (GO:0051782)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell division (GO:0051781)	20	0	.16	-	 < 0.01	1.00E00	1.00E00
establishment of integrated proviral latency (GO:0075713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to dsRNA (GO:0071359)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to type I interferon (GO:0071357)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to tumor necrosis factor (GO:0071356)	41	0	.33	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-6 (GO:0071354)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-4 (GO:0071353)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-2 (GO:0071352)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-18 (GO:0071351)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-15 (GO:0071350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H4-K16 deacetylation (GO:1990678)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to redox state (GO:0051775)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-12 (GO:0071349)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-1 (GO:0071347)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
cellular response to interferon-gamma (GO:0071346)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to cytokine stimulus (GO:0071345)	142	0	1.13	-	 < 0.01	6.28E-01	1.00E00
skeletal muscle acetylcholine-gated channel clustering (GO:0071340)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
transposition, DNA-mediated (GO:0006313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin crosslink formation (GO:0051764)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic recombination (GO:0006312)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA recombination (GO:0006310)	68	0	.54	-	 < 0.01	1.00E00	1.00E00
regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to glucose stimulus (GO:0071333)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to fructose stimulus (GO:0071332)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to hexose stimulus (GO:0071331)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
apoptotic DNA fragmentation (GO:0006309)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen compound (GO:1901699)	170	0	1.36	-	 < 0.01	6.44E-01	1.00E00
DNA catabolic process (GO:0006308)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
response to nitrogen compound (GO:1901698)	277	0	2.21	-	 < 0.01	1.68E-01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
