




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
uracil DNA N-glycosylase activity (GO:0004844)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiol-dependent deubiquitinase (GO:0004843)	48	0	.06	-	 < 0.01	1.00E00	1.00E00
thiamine pyrophosphate transmembrane transporter activity (GO:0090422)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase activity (GO:0004842)	178	0	.24	-	 < 0.01	1.00E00	1.00E00
LBD domain binding (GO:0050693)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein disulfide isomerase activity (GO:0003756)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA binding domain binding (GO:0050692)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate phosphatase activity (GO:0052866)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
serine transmembrane transporter activity (GO:0022889)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
uridylate kinase activity (GO:0009041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin activating enzyme activity (GO:0004839)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
macromolecule transmembrane transporter activity (GO:0022884)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
valine-tRNA ligase activity (GO:0004832)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
translation release factor activity (GO:0003747)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine-tRNA ligase activity (GO:0004831)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
AF-1 domain binding (GO:0050683)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mycophenolic acid acyl-glucuronide esterase activity (GO:0102390)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation elongation factor activity (GO:0003746)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
AF-2 domain binding (GO:0050682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
androgen receptor binding (GO:0050681)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
translation initiation factor activity (GO:0003743)	23	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline 4-dioxygenase activity (GO:0031545)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline dioxygenase activity (GO:0031543)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase (NADPH) activity (GO:0052851)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate kinase activity (GO:0051766)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malonyl-CoA synthetase activity (GO:0090409)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine-tRNA ligase activity (GO:0004829)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate kinase activity (GO:0051765)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proline-tRNA ligase activity (GO:0004827)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase activity (GO:0004826)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate:inorganic phosphate antiporter activity (GO:0061513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl hydrolase activity (GO:0098599)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of ribosome (GO:0003735)	36	0	.05	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR binding (GO:0003730)	45	0	.06	-	 < 0.01	1.00E00	1.00E00
WD40-repeat domain binding (GO:0071987)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoteichoic acid immune receptor activity (GO:0070892)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol diphosphate pentakisphosphate diphosphatase activity (GO:0052842)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol diphosphate tetrakisphosphate diphosphatase activity (GO:0052840)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanosine-2'-O-)-methyltransferase activity (GO:0009020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate-tRNA ligase activity (GO:0004818)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-tRNA ligase activity (GO:0004817)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine-tRNA ligase activity (GO:0004816)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate-tRNA ligase activity (GO:0004815)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine-tRNA ligase activity (GO:0004814)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA binding (GO:0003729)	138	0	.18	-	 < 0.01	1.00E00	1.00E00
alanine-tRNA ligase activity (GO:0004813)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA ligase activity (GO:0004812)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
single-stranded RNA binding (GO:0003727)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA adenosine deaminase activity (GO:0003726)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA adenylyltransferase activity (GO:0004810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA binding (GO:0003725)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
NADP binding (GO:0050661)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA helicase activity (GO:0003724)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
flavin adenine dinucleotide binding (GO:0050660)	40	0	.05	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate nonaprenyltransferase activity (GO:0047293)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactosylceramide alpha-2,3-sialyltransferase activity (GO:0047291)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase activity (GO:0003720)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity (GO:0047290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
E-box binding (GO:0070888)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
structural molecule activity conferring elasticity (GO:0097493)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol diphosphate tetrakisphosphate kinase activity (GO:0052839)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N1-)-methyltransferase activity (GO:0009019)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 5-diphosphate pentakisphosphate 5-kinase activity (GO:0052836)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-miRNA binding (GO:0070883)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate phosphatase activity (GO:0052834)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid-beta binding (GO:0001540)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 4-phosphatase activity (GO:0052833)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP-monosaccharide-1-phosphate uridylyltransferase activity (GO:0051748)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 3-phosphatase activity (GO:0052832)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alanine transmembrane transporter activity (GO:0022858)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine-N2-)-methyltransferase activity (GO:0004809)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
triglyceride lipase activity (GO:0004806)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
active ion transmembrane transporter activity (GO:0022853)	47	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate binding (GO:0050656)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transposase activity (GO:0004803)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monosialoganglioside sialyltransferase activity (GO:0047288)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription corepressor activity (GO:0003714)	73	0	.10	-	 < 0.01	1.00E00	1.00E00
transcription coactivator activity (GO:0003713)	129	0	.17	-	 < 0.01	1.00E00	1.00E00
transcription coregulator activity (GO:0003712)	217	0	.29	-	 < 0.01	1.00E00	1.00E00
transcription elongation regulator activity (GO:0003711)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nicotinamide phosphoribosyltransferase activity (GO:0047280)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
primary miRNA binding (GO:0070878)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-3,4-bisphosphate 4-phosphatase activity (GO:0052828)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-methyltransferase activity (GO:0009008)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
site-specific DNA-methyltransferase (adenine-specific) activity (GO:0009007)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide binding (GO:0001530)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylguanine glycosylase activity (GO:0052822)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-7-methyladenine glycosylase activity (GO:0052821)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated cation-selective channel activity (GO:0022848)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
selenocysteine lyase activity (GO:0009000)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polynucleotide kinase activity (GO:0051734)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polydeoxyribonucleotide kinase activity (GO:0051733)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated cation channel activity (GO:0022843)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-hydroxyl-kinase activity (GO:0051731)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
narrow pore channel activity (GO:0022842)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium ion leak channel activity (GO:0022841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
leak channel activity (GO:0022840)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hormone receptor activity (GO:0003707)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity (GO:0047275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity (GO:0047273)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-binding transcription factor activity (GO:0003700)	281	0	.37	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor activity (GO:0030414)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activity (GO:0097472)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain acyl-CoA hydrolase activity (GO:0052816)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
medium-chain-aldehyde dehydrogenase activity (GO:0052814)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 5-kinase activity (GO:0052812)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ion gated channel activity (GO:0022839)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-5-kinase activity (GO:0052810)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD transmembrane transporter activity (GO:0051724)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transmitter-gated channel activity (GO:0022835)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur compound transmembrane transporter activity (GO:1901682)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-lignoceroyl-CoA dehydratase activity (GO:0102345)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur compound binding (GO:1901681)	85	0	.11	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 2A binding (GO:0051721)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-behenoyl-CoA dehydratase activity (GO:0102344)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated channel activity (GO:0022832)	27	0	.04	-	 < 0.01	1.00E00	1.00E00
3-hydroxy-arachidoyl-CoA dehydratase activity (GO:0102343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxo-cerotoyl-CoA reductase activity (GO:0102342)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxo-lignoceroyl-CoA reductase activity (GO:0102341)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-myristoyltransferase activity (GO:0050633)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxo-behenoyl-CoA reductase activity (GO:0102340)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
propionyl-CoA C2-trimethyltridecanoyltransferase activity (GO:0050632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FAD binding (GO:0071949)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
growth factor receptor binding (GO:0070851)	35	0	.05	-	 < 0.01	1.00E00	1.00E00
wide pore channel activity (GO:0022829)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity (GO:0051717)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-oxo-arachidoyl-CoA reductase activity (GO:0102339)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmitter-gated ion channel activity (GO:0022824)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium ion antiporter activity (GO:0022821)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded 3'-5' DNA helicase activity (GO:1990518)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coreceptor activity involved in Wnt signaling pathway (GO:0071936)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Arp2/3 complex binding (GO:0071933)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
nickel cation transmembrane transporter activity (GO:0015099)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein complex binding (GO:0070840)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transporter activity (GO:0015095)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
lead ion transmembrane transporter activity (GO:0015094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ferrous iron transmembrane transporter activity (GO:0015093)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
delta14-sterol reductase activity (GO:0050613)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coreceptor activity involved in canonical Wnt signaling pathway (GO:1904928)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylarsonate reductase activity (GO:0050610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein carrier chaperone (GO:0140597)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ligand-activated transcription factor activity (GO:0098531)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
superoxide-generating NADPH oxidase activator activity (GO:0016176)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
bubble DNA binding (GO:0000405)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cobalt ion transmembrane transporter activity (GO:0015087)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cadmium ion transmembrane transporter activity (GO:0015086)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Y-form DNA binding (GO:0000403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane transporter activity (GO:0015085)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
four-way junction DNA binding (GO:0000400)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium ion transmembrane transporter activity (GO:0015081)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
active transmembrane transporter activity (GO:0022804)	76	0	.10	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein serine/threonine phosphatase regulator activity (GO:0008597)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity (GO:0047238)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity (GO:0047237)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate secondary active transmembrane transporter activity (GO:0071913)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell-derived neurotrophic factor receptor activity (GO:0016167)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type monovalent copper transporter activity (GO:0140581)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proton transmembrane transporter activity (GO:0015078)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
amylase activity (GO:0016160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
starch binding (GO:2001070)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ligand-gated calcium channel activity (GO:0099604)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide phosphatase activity, acting on free nucleotides (GO:0098519)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polynucleotide phosphatase activity (GO:0098518)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor regulator activity (GO:0099602)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytidine-diphosphatase activity (GO:0036384)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol pentakisphosphate 2-kinase activity (GO:0035299)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen oxidase activity (GO:0070818)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
formyltetrahydrofolate dehydrogenase activity (GO:0016155)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycogen binding (GO:2001069)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sucrose:cation symporter activity (GO:0009669)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nickel cation binding (GO:0016151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
JUN kinase phosphatase activity (GO:0008579)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein binding (GO:0048306)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent cysteine-type endopeptidase inhibitor activity (GO:0010859)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein kinase activity (GO:0010857)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
plus-end-directed microtubule motor activity (GO:0008574)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase activator activity (GO:0010856)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclase regulator activity (GO:0010851)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-fucose mutarotase activity (GO:0036373)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G-rich strand telomeric DNA binding (GO:0098505)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
apolipoprotein A-I receptor binding (GO:0034191)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled ATP receptor activity (GO:0045031)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apolipoprotein receptor binding (GO:0034190)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
minus-end-directed microtubule motor activity (GO:0008569)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule-severing ATPase activity (GO:0008568)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
apolipoprotein A-I receptor activity (GO:0034188)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA end binding (GO:0045027)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apolipoprotein A-I binding (GO:0034186)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apolipoprotein binding (GO:0034185)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
neutral amino acid:sodium symporter activity (GO:0005295)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound transmembrane transporter activity (GO:1901618)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
L-histidine transmembrane transporter activity (GO:0005290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ABC-type xenobiotic transporter activity (GO:0008559)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin binding (GO:1901612)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol binding (GO:1901611)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
myristoyl-CoA hydrolase activity (GO:0102991)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid:sodium symporter activity (GO:0005283)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH-adrenodoxin reductase activity (GO:0015039)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione disulfide oxidoreductase activity (GO:0015038)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity (GO:0004197)	41	0	.05	-	 < 0.01	1.00E00	1.00E00
disulfide oxidoreductase activity (GO:0015036)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase activity (GO:0015035)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase activity (GO:0004190)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glucocorticoid receptor binding (GO:0035259)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled glutamate receptor binding (GO:0035256)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor binding (GO:0035255)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription regulator activator activity (GO:0140537)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate receptor binding (GO:0035254)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-xylosyltransferase activity (GO:0035252)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucosyltransferase activity (GO:0035251)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-galactosyltransferase activity (GO:0035250)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium channel activity (GO:0005272)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
coreceptor activity (GO:0015026)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type carboxypeptidase activity (GO:0004185)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
metallocarboxypeptidase activity (GO:0004181)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxypeptidase activity (GO:0004180)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
glucuronosyltransferase activity (GO:0015020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin kinase activity (GO:0008531)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-N-acetylgalactosaminyltransferase activity (GO:0035248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
placental growth factor-activated receptor activity (GO:0036332)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-arginine omega-N symmetric methyltransferase activity (GO:0035243)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-arginine omega-N asymmetric methyltransferase activity (GO:0035242)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-arginine omega-N monomethyltransferase activity (GO:0035241)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium channel activity (GO:0005262)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
aminopeptidase activity (GO:0004177)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP-dependent peptidase activity (GO:0004176)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
[heparan sulfate]-glucosamine N-sulfotransferase activity (GO:0015016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endopeptidase activity (GO:0004175)	88	0	.12	-	 < 0.01	1.00E00	1.00E00
electron-transferring-flavoprotein dehydrogenase activity (GO:0004174)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled peptide receptor activity (GO:0008528)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol transfer activity (GO:0008526)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine transporter activity (GO:0008525)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium-dependent multivitamin transmembrane transporter activity (GO:0008523)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol-forming fatty acyl-CoA reductase activity (GO:0102965)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA transmembrane transporter activity (GO:0008521)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-RNA adaptor activity (GO:0140517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride channel activity (GO:0005254)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate-mannose-protein mannosyltransferase activity (GO:0004169)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
anion channel activity (GO:0005253)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
virion binding (GO:0046790)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
delayed rectifier potassium channel activity (GO:0005251)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dodecenoyl-CoA delta-isomerase activity (GO:0004165)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transporter activity (GO:0008519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dimethylallyltranstransferase activity (GO:0004161)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid transmembrane transporter activity (GO:0008517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
